nama_pengguna,rating,ulasan,clean_ulasan,sentimen
Mas sabar Mahudi,1,tidak ada bonus promo,bonus promo,netral
Qonaah Ikhlas,5,good,good,netral
Liouz Zitanggang,1,aku kena penipuan di toko pedia ini. dan akun toko saya diblokir. tolong pencerahannya,kena tipu toko dia akun toko blokir tolong cerah,negatif
Hendi Endot,5,"yth tokped. tolong bantu saya dengan id prayogi putranto, membelibarang berupa hp yg d kirim soklin, blm saya confirmasi barang, sekarang dlm proses pengajuan/complain, tolong d bantu, saya rugi jutaan klo sampai pengajuan complain saya d tolak, sayaharus angsur perbulan 580 selama 6 bln, saya merasa d rugikan klo se andainya gagal pengajuan pengembalian barang.",yth tokped tolong bantu id prayogi putranto membelibarang hp d kirim soklin confirmasi barang dlm proses aju complain tolong d bantu rugi juta klo aju complain d tolak sayaharus angsur bulan bln d rugi klo andai gagal aju kembali barang,negatif
Wu Wa,1,Di persulit untuk return,sulit return,netral
Iwan Maulana,3,oy toped di pencarian terjadi buq tolong segera di fix.....jadi kzl gw 🗿,oy toped cari buq tolong fix kzl gw,netral
Donny Agusta Rizlah,1,"mesen barang sampe jutaan, udh dipesen dibatalin sama toko secara sepihak. harusnya dana gua kan balik. ini malah ditahan sama pihak tokped tanpa kejelasan apapun. kapok gua belanja di tokped. gua ngadu minta bantuan TokopediaCare pun percuma yg bales AI. gaakan ada solusi.",mesen barang sampe juta sen dibatalin toko dana gua tahan tokped jelas apa kapok gua belanja tokped gua ngadu bantu tokopediacare bales ai gaakan solusi,netral
dori chan,1,"sekarang makin parah si ijo ini, masak dana refund lama banget baliknya.. ini udah mau 24jam msh blm balik ke rekening padahal duit lg dibutuhin buat yg lain. aneh sih, toko oren aja Tarik uang hanya itungan detik masuk.. kecewa",parah si ijo masak dana refund banget balik udah jam msh rekening duit lg dibutuhin aneh sih toko oren aja tarik uang itungan detik masuk kecewa,negatif
Achmad Fikri,5,Oke Kak Lakukan dengan sebaik apapun itu Oke.👍👍👍,oke kak laku apa oke,positif
YUTA PANGALILA,1,pas bayar suka gagal & promonya jadi ilang,pas bayar suka gagal promonya ilang,negatif
Mirza Zaky Qasthalany,1,"pihak tokped selalu merekomendasikan barang"" yang mengandung unsur 18+ padahal saya tidak pernah mencari barang"" tersebut di pencarian, dan ini sangat menggangu kenyamana saya sebagai pengguna",tokped rekomendasi barang kandung unsur cari barang cari menggangu kenyamana guna,positif
Mohammad Faisal Riza,5,Mangstab beut dah,mangstab beut dah,netral
Ade Prasetyo,3,Lebelnya doang gratis ongkir :( kencur!,lebelnya doang gratis ongkir kencur,netral
made widia Palguna,3,"Tolong donk buat Tokopedia, sering-sering di cek toko-toko online yg bekerjasama, masih banyak saya jumpai toko abal-abal, ada lapaknya tapi udah lama ga update produknya, tidak pernah online, kirim chat ga pernah dibalas, stok produk masih muncul tapi begitu dibeli ternyata stok sudah habis, kirim produk sering mendekati batas akhir transaksi, dll..., Tokopedia kalau ga mau berbenah bakal ditinggal customer dan kedepan mungkin hanya tinggal nama, kalah sama toko online sebelah.",tolong donk tokopedia cek toko toko online bekerjasama jumpa toko abal abal lapak udah update produk online kirim chat balas stok produk muncul beli stok habis kirim produk dekat batas transaksi dll tokopedia benah tinggal customer depan tinggal nama kalah toko online belah,netral
AICE PROJECT,5,Oke,oke,positif
Abdan Syakur,5,aplikasi yg menurut ku termasuk aplikasi terbaik,aplikasi ku aplikasi baik,positif
Farhan Botak,2,"baru ini make tokped, pembelanjaan dari tokped terlalu lama paling seneb belanja pengiriman nya lama untuk proses nya!!! di perbaiki lagi tuh tolong",make tokped belanja tokped seneb belanja kirim nya proses nya baik tuh tolong,positif
Rofy Ketrina,5,Aku Selalu jadi langganan Tokopedia Terpercaya tepat Pas Barang ya ..,langgan tokopedia percaya pas barang ya,netral
Diinar “Dinar” Rika,1,"belanja disini sering dapat barang palsu..ini udah kesekian kalinya saya dpt barangbpalsu dan tidak sesuai poto dan deskripsi produk.. apa tokopedia ga manegur selleer nya yang dapat bintang 1 ya?? udah gitu susaaaaah banget terhubung dengan CS yang jawab pesan bot..kitanya ga bisa menyampaikan keluhan secara langsung..solusi mengembalikan barang, merepotkan sekali sumpah..",belanja barang palsu udah sekian kali dpt barangbpalsu sesuai poto deskripsi produk tokopedia manegur selleer nya bintang ya udah gitu susaaaaah banget hubung cs pesan bot kita keluh langsung solusi kembali barang repot sumpah,positif
Kintan Jasmine,1,aplikasinya nipu harga jangan di download,aplikasi nipu harga download,netral
Kalena Efris,1,"Ga usah nyantumin diskon kalau ga bisa dipakai. Aplikasi scammer, jangan di download",nyantumin diskon pakai aplikasi scammer download,netral
Abah Nanang,5,serba mudah mantap pokona mah,serba mudah mantap pokona mah,positif
boy bobom,1,Tokopedia banyak barang palsu dan tidak asli dan barang ilegal dan tidak ada perijinan dari pajak dan bea cukai...pantas negara Indonesia jadi rugi sekitar Rp 235.82 triliun,tokopedia barang palsu asli barang ilegal perijinan pajak bea cukai negara indonesia rugi rp triliun,netral
Surya Zurya,1,"Aplikasi sering bermasalah mengenai jaringan, padahal wifi selalu normal, namun server tokopedia sering tidak merespon, tolong perbaiki segera.",aplikasi masalah jaring wifi normal server tokopedia merespon tolong baik,positif
David Wong,5,"aplikasi terbaik ,tidak diragukan lagi",aplikasi baik ragu,positif
Yogi Aditya Firmansyah,1,berat bgt ini aplikasi tokped skrg. dulu saya lbh prioritas tokped ketimbang keranjang kuning krn apk nya enteng. skrg buat scroll2 cari barang sbntar aja udh berat. HP RAM 12 padahal.,berat banget aplikasi tokped skrg lbh prioritas tokped ketimbang keranjang kuning krn apk nya enteng skrg scroll cari barang sbntar aja berat hp ram,netral
supyan,1,sekarang pengiriman di tokopedia jadi lelet banget,kirim tokopedia lelet banget,netral
Upil Cacing,5,pertama belanja. semoga banyak promo dan gratis ongkir,belanja moga promo gratis ongkir,netral
Abdullah,5,goods ferry good,goods ferry good,netral
Ninik Puji Rahayu,1,banyak modus penipuan,modus tipu,negatif
Dzakwan ALBahy,1,parameter batasan keranjangnya ABSURD haha kalo pakai batasan item barang atau toko tidak masalah ini malah pakai batasan pcs juga. efeknya ini saya pesen kertas 1000 pcs gk bisa jadinya wkkw. klik beli juga gk bisa karena larinya kekeranjang dan pasti kena batas max pcs lagi,parameter batas keranjang absurd haha kalo pakai batas item barang toko pakai batas pcs efek sen kertas pcs wkkw klik beli lari keranjang kena batas max pcs,netral
Budi,1,saya kena tipu toko abal abal tokopedia tidak ada tanggapan buat membantu saya,kena tipu toko abal abal tokopedia tanggap bantu,negatif
I Ketut Wintara,1,"LEBIH BAIK BELANJA DI SHOPEE DARI PADA TOKOPEDIA .. SUDAH PESAN BAYAR .., SUDAH DITUNGGU MALAH BARANG TIDAK DATANG TAMPA KONFIRMASI DAN UANG MASUK KE SALDO TOKOPEDIA",belanja shopee tokopedia pesan bayar tunggu barang tampa konfirmasi uang masuk saldo tokopedia,netral
Agus Efendi,1,"Barusan saya kena tipu saya wa ke no. wa yg dapet dari Instagram resminya tokopedia. karena ada pembatalan pembelian., dia nyuruh saya beli barang terus dibatalin akhirnya saya beli tapi saldonya ngk balik lagi malah ada yg ngambil di akun tokopedia punya saya",barusan kena tipu wa no wa dapet instagram resmi tokopedia batal beli nyuruh beli barang dibatalin beli saldo ngk ngambil akun tokopedia,negatif
Badron Sodron,1,aplikasi parah promo besar buat pelanggan tertarik dan akhirnya dibikin kecewa barang gak pernah dikirim,aplikasi parah promo langgan tarik bikin kecewa barang kirim,negatif
Indara Aldairihh,5,proses cpt,proses cpt,netral
Kagasaki Futari (FK),3,"isi bagus, mines notifikasi bloatware. jalan Mulu dan gak bisa dihilangkan, biasanya promo iklan",isi bagus mes notifikasi bloatware jalan mulu hilang promo iklan,positif
Andre Salim,1,"mau pengembalian barang tapi kurirnya tidak datang2, akhirnya komplain ketutup sendiri & dianggap membeli.",kembali barang kurir komplain tutup anggap beli,netral
Dhivan Saputro,5,anjay,anjay,netral
Arif Agustiyan,1,"aplikasi aneh dan gak laku... banyak toko yang di blokir ,gmn mau bersaing dengan toko sebelah... owner nya kelewat TOLOL",aplikasi aneh laku toko blokir gmn saing toko belah owner nya lewat tolol,netral
ochim tsukino,5,"saya tdk akan pernah berbelanja di Tokopedia lagi, banyak toko yg menjual barang tdk layak, mohon ditindaklanjuti",tdk belanja tokopedia toko jual barang tdk layak mohon ditindaklanjuti,netral
rovi jack016,5,proses cepat dan mudah,proses cepat mudah,positif
Indra Irwana,3,"Kenapa ini apk tokopedia, mu masuk ke tagihan tokopedia card saja sudah 2 hari tidak bisa masuk, bagaimana saya bayar jika tidak bisa masuk ke menu tagihan tokopedia card",apk tokopedia mu masuk tagih tokopedia card masuk bayar masuk menu tagih tokopedia card,netral
Mihoyo,1,"coba benerin lagi sistem tokopedia card nya, mau bayar dipersulit, ada aja alesanya, kayak koneksi internetlah, trus harus tunggu 15 menit lah, padahal udah ditungguin sampai besoknya tetep aja gk bisa, masa masalah kyk gini gk hilang hilang, dan masalahnya sampai berhari hari",coba benerin sistem tokopedia card nya bayar sulit aja alesanya kayak koneksi internetlah trus tunggu menit udah ditungguin besok tetep aja kyk gin hilang hilang hari,netral
abang toyib,1,"sekarang Tokopedia aneh pertama saya beli di Tokopedia bisa cod pas udah beli, saya mau beli lagi udah gak bisa cod mau beli apapun juga memang aneh",tokopedia aneh beli tokopedia cod pas udah beli beli udah cod beli apa aneh,netral
galag azis,1,"APLIKASI INI SUDAH MILIK CINA PKI, BUKAN APLIKASI MILIK ANAK BANGSA LAGI... WKWK, KONOHA INDO UDAH DIBELI SAMA CINA",aplikasi milik cina pki aplikasi milik anak bangsa wkwk konoha indo udah beli cina,netral
Iman Zaenal Mutaqin,5,bagus,bagus,positif
Ayu Nita,1,"KURIR ID EXPRESS SERING CHAT SETELAH KIRIM PAKET LALU MEMINJAM UANG, SEBAIKNYA PAKAI SI CEPAT SAJA KARENA SI CEPAT KURIRNYA SOPAN"", JNE MALAS ANTAR KE RUMAH SUKA MINTA KITA KE JALAN AMBIL DI JALAN UTAMA, J&T JUGA MALAS ANTAR KE RUMAH MALAS TURUN DARI MOTOR KITA YANG HARUS NYAMPERIN KE MOTOR",kurir id express chat kirim paket pinjam uang pakai si cepat si cepat kurir sopan jne malas rumah suka jalan ambil jalan utama j t malas rumah malas turun motor nyamperin motor,positif
priyatna bonong,3,sekarang jadi stupid banget fitur pencarian di Tokopedia. Jelas-jelas barangnya ada di toko dan di ketik sesuai nama barang; tetap muncul barang tidak ditemukan! bikin males saja cari barang di Tokopedia. Sejauh ini terus menurun kualitas app Tokopedia.,stupid banget fitur cari tokopedia barang toko ketik sesuai nama barang muncul barang temu bikin males cari barang tokopedia turun kualitas app tokopedia,positif
Syandi Nugroho,5,oke,oke,positif
Andi Cpx,1,Nebar iklan di mana mana saya tidak suka,nebar iklan suka,netral
Teguh Bangun Aribowo,5,ok,ok,netral
Tony Reiha,3,"Gan, setelah di update Fitur Feed Update di tokped nya kok tidak bisa di scroll ya?",gan update fitur feed update tokped nya scroll ya,netral
Adi Siswanto,4,ini dlu.... semoga lancar jaya,dlu moga lancar jaya,netral
m ali mustofa,2,kok macet mau bayar,macet bayar,negatif
ORIGINAL GARAGE,4,tidak seperti dulu,,netral
Rfn _,1,"pembayaran pake gopay saldonya selalu tidak terdeteksi, padahal udah ditopup ehh saldo gopay tabungan malah yang tampil, giliran di topup ke gopay tabungan ehh malah saldo utama yang tampil, hal hasil saya harus top up dua duanya baru bisa",bayar pake gopay saldo deteksi udah ditopup ehh saldo gopay tabung tampil gilir topup gopay tabung ehh saldo utama tampil hasil top up dua,positif
ERHICKSON JANTONIUS SITUMORANG,5,terimahkasih,terimahkasih,netral
Istriheni Monalisatayu,1,"beli diskon dapat kupon event kemarenan disuruh tf dl baru dapat potongan,bayar 40rb,stlh diitung2 eh harga normal cm free ongkir,gimik doang beli kopi 20pcs jatohny satuan2rb,mau bangkrut cukup 1x ja",beli diskon kupon event kemarenan suruh tf dl potong bayar rb stlh diitung eh harga normal cm free ongkir gimik doang beli kopi pcs jatohny satu rb bangkrut x ja,netral
Mukhtar Setiawan,1,koneksi timeout mlu KNPA dah babhi,koneksi timeout mlu knpa dah babhi,netral
Faizal Setiawan,1,"aplikasi buruk sekali, sudah beli pesanan ga dikirim, minta refund malah saldo pake acara ditahan sangat menyulitkan pembeli jangan sampai ada lagi yang ketipu sama aplikasi ini",aplikasi buruk beli pesan kirim refund saldo pake acara tahan sulit beli tipu aplikasi,negatif
Reggina Putri,1,ko akun saya gak bisa klaim voucher sih....,ko akun klaim voucher sih,netral
ilham_ faauzi,1,"bug yang ga pernah fix setiap update aplikasi, ketika melihat foto"" ulasan geser bawah atas kanan kiri hampir gabisa, perbaiki dong min, ngehambat banget bug itu.",bug fix update aplikasi foto ulas geser kanan kiri gabisa baik min ngehambat banget bug,negatif
ali mohammad,5,bagus,bagus,positif
eko jerry eko,1,belanja di sini jarang yang bisa cod,belanja jarang cod,netral
Linka Damin,5,sangat baik membantu saya,bantu,netral
deni saputra,3,"tolong dibuat virtual account kyk aplikasi shopee, bisa buat berbagai macam virtual account msal BSI bisa 10 virtual account untuk 10 produk, krna kami mau booking dulu 10 barang baru bayar, kalau disini harus bayar dulu, sdgkn kalau mau beli produk baru lg jdi produk pertama hilang karna sdh beli produk kedua. tolong diperbaiki. makasih",tolong virtual account kyk aplikasi shopee virtual account msal bsi virtual account produk krna booking barang bayar bayar sdgkn beli produk lg jdi produk hilang karna beli produk tolong baik makasih,positif
Dwi Hartono,5,"Simpel,lengkap,cepat.",simpel lengkap cepat,positif
Anggara Selian,5,sukses,sukses,netral
Fardan bimantara putra,1,"filternya buruk gak kyk dulu, cari barang harus ulang filter terus saat kembali.. sortirnya juga sekarang ngawur kenapa malah jelek daripada yg dulu?",filter buruk kyk cari barang ulang filter sortir ngawur jelek,negatif
Ilhami Putri Ajeng,5,"memuaskan, Produk paling lengkap ya diTokped apapun dicari pasti adaaa Mantap",muas produk lengkap ya ditokped apa cari adaaa mantap,positif
Darrel Ammarnibras,5,bagus mangtap minus kebanyakan error tapi oke,bagus mangtap minus banyak error oke,positif
Asmadi Asmadi,5,mantap toko pedia,mantap toko dia,positif
Yayat Hidayat 15,5,keren,keren,positif
Tulisen dewe,5,"tiktok paylater tidak bisa dibuka padahal masih ada angsuran sudah jatuh tempo,CS pun tidak bisa terhubung.aplikasinya makin kacau ........",tiktok paylater buka angsur jatuh tempo cs hubung aplikasi kacau,netral
Ejicandra12,3,"jika pesan barang terus kita tidak mengisi reting toko, bisa otomatis mengisi sendiri wkwkwk",pesan barang isi reting toko otomatis isi wkwkwk,netral
Ginie Oh Ginie,1,"Tokped now many Seller not active, CO never processed, but Admin do nothing never block Merchant & often Banned/block Customer with reason break the rules, perhaps no need customer anymore, no more longer will BANKRUPT Market Place like this.....!!!!!! 💩 💩 💩 🙊 🙊 🙊 🤮 🤮 🤮",tokped now many seller not active co never processed but admin do nothing never block merchant often banned block customer with reason break the rules perhaps no need customer anymore no more longer will bankrupt market place like this,netral
Rizal Muhammad,5,Perbaikan yg bagus,baik bagus,positif
AL,1,TIM TOKOPEDIA CARE SANGAT TIDAK PROFESIONAL.,tim tokopedia care profesional,netral
Fake World,5,cekatan,cekat,netral
Arjun Triyono,5,"mau tolong tambahin fitur masukan pin dulu klo mau blanja online, karena yg sekarang terlalu mudah belanja tinggal 2 klik doang langsung di proses, nanti buat alasan costumer nge return, dg alsan kepencet, kasihan orang2 kurirnya, ini untuk di tokopedia maupun di tiktok shop ya",tolong tambahin fitur masuk pin klo blanja online mudah belanja tinggal klik doang langsung proses alas costumer nge return dg alsan pencet kasihan orang kurir tokopedia tiktok shop ya,netral
Emil Ismail,1,makin lemah saya cekout gak ada respon sampe seminggu duakali ulang hadeuh parah,lemah cekout respon sampe minggu duakali ulang hadeuh parah,negatif
Sandi Lesmana,1,Aplikasi ini sangat tidak jelas dalam pelayanan Maslah barang cacat sudah kirim bukti tetapi di tidak ada solusi di tambah pelayanan cs gak manusiawi tidak mendengar keluhan dan selalu tutup komplain ketika komplain aplikasi ini buruk sekali,aplikasi layan mas barang cacat kirim bukti solusi layan cs manusiawi dengar keluh tutup komplain komplain aplikasi buruk,negatif
Jamaluddin Situru,3,"Bagus cuma Ongkir nya sangat mahal dari harga barang 20.000 jadi total 69.000,mohon di kurangi sedikit harga ongkir nya",bagus ongkir nya mahal harga barang total mohon kurang harga ongkir nya,positif
Agus Sopian,1,anjinglah. saya setiap kali pesan kurir nya kurang ramah tidak ada konfirmasi lagi kapan pengantaran paket nya. cobalah di berbaiki untuk proses pengantaran paket nya,anjing kali pesan kurir nya ramah konfirmasi antar paket nya coba baik proses antar paket nya,positif
Agus Riyanto,5,bagus,bagus,positif
Ismar Tanto,5,oke,oke,positif
Glend Saputro,3,tidak bisa update,update,netral
Hil Ay,5,ok,ok,netral
MUHAMMAD ASWIN SUHADDA HARAHAP,5,mudah cepat dan praktis,mudah cepat praktis,positif
Mochandik Alvino27,5,hemat banget sangat membantu,hemat banget bantu,netral
Khasan Jepara,2,"tidak bisa beli pakai cod padahal sayang sekali banyak orang yg ingin beli di Tokopedia karena kualitasnya dan barang barang nya bagus bagus mau beli ( Vape / pod ) enggak bisa beli mau jadi langganan ( Vape / pod ) tetapi metode pembayaran nya ( debit ). toko bagus hanya metode nya yg buruk, ini saran tolong langsung di ubah langsung.",beli pakai cod sayang orang beli tokopedia kualitas barang barang nya bagus bagus beli vape pod beli langgan vape pod metode bayar nya debit toko bagus metode nya buruk saran tolong langsung ubah langsung,positif
Enda Bayau Aquriuss,1,"sekarang belanja di tokopedia gk bisa bayar di tempat,,,",belanja tokopedia bayar,netral
hendra cenet,5,sangat bagus trmksh,bagus trmksh,positif
ywm,5,bagus,bagus,positif
yesa andina,1,"cs tidak membantu, promo yg didapat tidak sesuai, cashback tidak diterima",cs bantu promo sesuai cashback terima,positif
Amin Wibowo,1,Ongkir nya Ter parah SE online lain....hanya bagus paylater nya🤣🤣.beli 2X .barang GK terkirim kirim..toko nya pada GK amanah...Tutup saja,ongkir nya ter parah online bagus paylater nya beli x barang kirim kirim toko nya amanah tutup,netral
Cash Nauval,4,gan metode pilihan pembayaran susah di buka. tolong di perbaiki. mw belanja jadi susah,gan metode pilih bayar susah buka tolong baik mw belanja susah,negatif
Aing Saha,4,4 dulu ya.,ya,netral
Mld Super,3,"mau ganti nomor aja susahnya minta ampun ,,, anjg, ribet hidop loe",ganti nomor aja susah ampun anjg ribet hidop loe,negatif
Fo Salta13,5,bagus,bagus,positif
Frisca Clarissa,1,"Jangan di install. Aplikasi penipu diskon, saat mau beli diskonnya hilang. Sayangi waktu kalian pakai aplikasi lain",install aplikasi tipu diskon beli diskon hilang sayang pakai aplikasi,negatif
Jaka Geledek,5,banyakin gratis ongkir biar tambah maju,banyakin gratis ongkir biar maju,netral
The Leons,1,sekarang tokpedia parah ya.saya komplain atas penipuan yang saya alami sudah beberpa hari gak di tanggapi..,tokpedia parah ya komplain tipu alami beberpa tanggap,negatif
Ajis Supriadi,4,mantap,mantap,positif
kurukurukputasaja kurukurukputasaja,5,top markotop lah untuk lazada,top markotop lazada,positif
Minth Joyo,1,Rekomendasi kurirnya tidak bagus pengiriman dekat bisa 1 minggu lebih,rekomendasi kurir bagus kirim minggu,positif
SUNARDI,5,mantab......,mantab,netral
Keenan Reynando,1,"semua pelayanan sangat lambat chat penjual pun tidak ada respon penjemputan kurir sampe 3 hari masih disuruh nunggu 3 hari lagi..masa iya proses sampe seminggu baru dikirim, itupun kalau dikirim",layan lambat chat jual respon jemput kurir sampe suruh nunggu iya proses sampe minggu kirim itu kirim,negatif
Boy Horor,5,sip deh,sip deh,netral
Iwan Setiawan,5,bagus aplikasinya Enak di pakai,bagus aplikasi enak pakai,positif
Surati Margining wahyu,1,"aplikasi error. tambah keranjang selalu ""terjadi kesalaha"". susah buat beli produk berbeda dalam 1 toko & 1 pengiriman. tampilannya aja yang sok modern. kupon promo2nya juga ga bisa dipakai, alias ngibul.",aplikasi error keranjang kesalaha susah beli produk beda toko kirim tampil aja sok modern kupon promo nya pakai alias ngibul,negatif
